Player,Team,Position,Fee,Season,Transfer
Sam Hutchinson,Chelsea,Defensive Midfield,0.0,2013/2014,Departure
Sam Hutchinson,Chelsea,Defensive Midfield,0.0,2013/2014,Departure
Stipe Perica,Chelsea,Centre-Forward,0.0,2013/2014,Departure
Matej Delac,Chelsea,Goalkeeper,0.0,2013/2014,Departure
Patrick Bamford,Chelsea,Centre-Forward,0.0,2013/2014,Departure
Matej Delac,Chelsea,Goalkeeper,0.0,2013/2014,Departure
Kenneth Omeruo,Chelsea,Centre-Back,0.0,2013/2014,Departure
Ulises Dávila,Chelsea,Attacking Midfield,0.0,2013/2014,Departure
Cristian Cuevas,Chelsea,Left Winger,0.0,2013/2014,Departure
Cristian Cuevas,Chelsea,Left Winger,0.0,2013/2014,Departure
Gaël Kakuta,Chelsea,Attacking Midfield,0.0,2013/2014,Departure
Cristian Cuevas,Chelsea,Left Winger,0.0,2015/2016,Departure
Andreas Christensen,Chelsea,Centre-Back,0.0,2015/2016,Departure
Danilo Pantic,Chelsea,Attacking Midfield,0.0,2015/2016,Departure
Eduardo,Chelsea,Goalkeeper,0.0,2018/2019,Departure
Carlos Vela,Arsenal,Right Winger,0.0,2012/2013,Arrival
Emiliano Martínez,Arsenal,Goalkeeper,0.0,2012/2013,Arrival
James Shea,Arsenal,Goalkeeper,0.0,2012/2013,Arrival
Martin Angha,Arsenal,Centre-Back,0.0,2012/2013,Arrival
Wallace Oliveira,Chelsea,Right-Back,0.0,2018/2019,Departure
Jamal Blackman,Chelsea,Goalkeeper,0.0,2018/2019,Departure
Jake Clarke-Salter,Chelsea,Centre-Back,0.0,2018/2019,Departure
Fikayo Tomori,Chelsea,Centre-Back,0.0,2018/2019,Departure
Nathan,Chelsea,Attacking Midfield,0.0,2018/2019,Departure
Todd Kane,Chelsea,Right-Back,0.0,2018/2019,Departure
Victor Moses,Chelsea,Right Midfield,0.0,2018/2019,Departure
Lucas Piazón,Chelsea,Attacking Midfield,0.0,2018/2019,Departure
Matt Miazga,Chelsea,Centre-Back,0.0,2018/2019,Departure
Michael Hector,Chelsea,Centre-Back,0.0,2018/2019,Departure
Charly Musonda Jr.,Chelsea,Left Winger,0.0,2018/2019,Departure
Izzy Brown,Chelsea,Left Winger,0.0,2018/2019,Departure
Abdul Rahman Baba,Chelsea,Left-Back,0.0,2018/2019,Departure
Tomas Kalas,Chelsea,Centre-Back,0.0,2018/2019,Departure
Lewis Baker,Chelsea,Central Midfield,0.0,2018/2019,Departure
Lewis Baker,Chelsea,Central Midfield,0.0,2018/2019,Departure
Marouane Chamakh,Arsenal,Centre-Forward,0.0,2012/2013,Arrival
Ryo Miyaichi,Arsenal,Right Winger,0.0,2012/2013,Arrival
Pedro Botelho,Arsenal,Centre-Back,0.0,2012/2013,Arrival
Emmanuel Frimpong,Arsenal,Defensive Midfield,0.0,2012/2013,Arrival
Emiliano Martínez,Arsenal,Goalkeeper,0.0,2013/2014,Arrival
Wellington Silva,Arsenal,Right Winger,0.0,2013/2014,Arrival
Ignasi Miquel,Arsenal,Centre-Back,0.0,2013/2014,Arrival
Chu-young Park,Arsenal,Centre-Forward,0.0,2013/2014,Arrival
Chu-young Park,Arsenal,Centre-Forward,0.0,2013/2014,Arrival
Joel Campbell,Arsenal,Right Winger,0.0,2013/2014,Arrival
André Santos,Arsenal,Left-Back,0.0,2013/2014,Arrival
Denílson,Arsenal,Defensive Midfield,0.0,2013/2014,Arrival
Johan Djourou,Arsenal,Centre-Back,0.0,2013/2014,Arrival
Nicklas Bendtner,Arsenal,Centre-Forward,0.0,2013/2014,Arrival
Serge Gnabry,Arsenal,Right Winger,0.0,2013/2014,Arrival
Kristoffer Olsson,Arsenal,Central Midfield,0.0,2013/2014,Arrival
Daniel Boateng,Arsenal,Centre-Back,0.0,2013/2014,Arrival
Yaya Sanogo,Arsenal,Centre-Forward,0.0,2013/2014,Arrival
Mathieu Flamini,Arsenal,Defensive Midfield,0.0,2013/2014,Arrival
Wellington Silva,Arsenal,Right Winger,0.0,2012/2013,Arrival
Craig Eastmond,Arsenal,Central Midfield,0.0,2012/2013,Arrival
Joel Campbell,Arsenal,Right Winger,0.0,2012/2013,Arrival
Emmanuel Frimpong,Arsenal,Defensive Midfield,0.0,2012/2013,Arrival
Tammy Abraham,Chelsea,Centre-Forward,0.0,2018/2019,Departure
Christian Pulisic,Chelsea,Right Winger,0.0,2018/2019,Departure
Ulises Dávila,Chelsea,Attacking Midfield,0.0,2015/2016,Departure
Nathan Aké,Chelsea,Centre-Back,0.0,2016/2017,Departure
Jamal Blackman,Chelsea,Goalkeeper,0.0,2016/2017,Departure
Danilo Pantic,Chelsea,Attacking Midfield,0.0,2016/2017,Departure
Matej Delac,Chelsea,Goalkeeper,0.0,2016/2017,Departure
Cristian Cuevas,Chelsea,Left Winger,0.0,2016/2017,Departure
Kenneth Omeruo,Chelsea,Centre-Back,0.0,2016/2017,Departure
Matt Miazga,Chelsea,Centre-Back,0.0,2016/2017,Departure
Lucas Piazón,Chelsea,Attacking Midfield,0.0,2016/2017,Departure
Tomas Kalas,Chelsea,Centre-Back,0.0,2016/2017,Departure
Michael Hector,Chelsea,Centre-Back,0.0,2016/2017,Departure
Patrick Bamford,Chelsea,Centre-Forward,0.0,2016/2017,Departure
Matej Delac,Chelsea,Goalkeeper,0.0,2018/2019,Departure
Marco van Ginkel,Chelsea,Central Midfield,0.0,2016/2017,Departure
Kenedy,Chelsea,Left Winger,0.0,2016/2017,Departure
Branislav Ivanovic,Chelsea,Right-Back,0.0,2016/2017,Departure
John Obi Mikel,Chelsea,Defensive Midfield,0.0,2016/2017,Departure
Jamal Blackman,Chelsea,Goalkeeper,0.0,2015/2016,Departure
Lewis Baker,Chelsea,Central Midfield,0.0,2015/2016,Departure
Todd Kane,Chelsea,Right-Back,0.0,2015/2016,Departure
Matej Delac,Chelsea,Goalkeeper,0.0,2015/2016,Departure
Michael Hector,Chelsea,Centre-Back,0.0,2015/2016,Departure
Marco Amelia,Chelsea,Goalkeeper,0.0,2016/2017,Departure
Radamel Falcao,Chelsea,Centre-Forward,0.0,2016/2017,Departure
Alexandre Pato,Chelsea,Centre-Forward,0.0,2016/2017,Departure
Loïc Rémy,Chelsea,Centre-Forward,0.0,2017/2018,Departure
Fikayo Tomori,Chelsea,Centre-Back,0.0,2017/2018,Departure
Jamal Blackman,Chelsea,Goalkeeper,0.0,2017/2018,Departure
Danilo Pantic,Chelsea,Attacking Midfield,0.0,2017/2018,Departure
Ola Aina,Chelsea,Right-Back,0.0,2017/2018,Departure
Nathan,Chelsea,Attacking Midfield,0.0,2017/2018,Departure
Nathan,Chelsea,Attacking Midfield,0.0,2017/2018,Departure
Todd Kane,Chelsea,Right-Back,0.0,2017/2018,Departure
Todd Kane,Chelsea,Right-Back,0.0,2017/2018,Departure
Kenneth Omeruo,Chelsea,Centre-Back,0.0,2017/2018,Departure
Michael Hector,Chelsea,Centre-Back,0.0,2017/2018,Departure
Tomas Kalas,Chelsea,Centre-Back,0.0,2017/2018,Departure
Ruben Loftus-Cheek,Chelsea,Central Midfield,0.0,2017/2018,Departure
Lewis Baker,Chelsea,Central Midfield,0.0,2017/2018,Departure
Kenedy,Chelsea,Left Winger,0.0,2017/2018,Departure
Tammy Abraham,Chelsea,Centre-Forward,0.0,2017/2018,Departure
Mario Pasalic,Chelsea,Central Midfield,0.0,2017/2018,Departure
Abdul Rahman Baba,Chelsea,Left-Back,0.0,2017/2018,Departure
Cristian Cuevas,Chelsea,Left Winger,0.0,2017/2018,Departure
John Terry,Chelsea,Centre-Back,0.0,2017/2018,Departure
Thorgan Hazard,Chelsea,Left Winger,0.0,2012/2013,Departure
Matej Delac,Chelsea,Goalkeeper,0.0,2012/2013,Departure
Matej Delac,Chelsea,Goalkeeper,0.0,2012/2013,Departure
Stipe Perica,Chelsea,Centre-Forward,0.0,2014/2015,Arrival
Andreas Christensen,Chelsea,Centre-Back,0.0,2015/2016,Arrival
Alexandre Pato,Chelsea,Centre-Forward,0.0,2015/2016,Arrival
Danilo Pantic,Chelsea,Attacking Midfield,0.0,2015/2016,Arrival
Lewis Baker,Chelsea,Central Midfield,0.0,2014/2015,Arrival
Jamal Blackman,Chelsea,Goalkeeper,0.0,2014/2015,Arrival
Lewis Baker,Chelsea,Central Midfield,0.0,2014/2015,Arrival
Matej Delac,Chelsea,Goalkeeper,0.0,2014/2015,Arrival
Todd Kane,Chelsea,Right-Back,0.0,2014/2015,Arrival
Matej Delac,Chelsea,Goalkeeper,0.0,2014/2015,Arrival
Stipe Perica,Chelsea,Centre-Forward,0.0,2014/2015,Arrival
Marko Marin,Chelsea,Attacking Midfield,0.0,2014/2015,Arrival
Kenneth Omeruo,Chelsea,Centre-Back,0.0,2014/2015,Arrival
Todd Kane,Chelsea,Right-Back,0.0,2014/2015,Arrival
Cristian Cuevas,Chelsea,Left Winger,0.0,2014/2015,Arrival
Nathan Aké,Chelsea,Centre-Back,0.0,2014/2015,Arrival
Ulises Dávila,Chelsea,Attacking Midfield,0.0,2014/2015,Arrival
Ulises Dávila,Chelsea,Attacking Midfield,0.0,2014/2015,Arrival
Patrick Bamford,Chelsea,Centre-Forward,0.0,2014/2015,Arrival
Gaël Kakuta,Chelsea,Attacking Midfield,0.0,2014/2015,Arrival
Tomas Kalas,Chelsea,Centre-Back,0.0,2014/2015,Arrival
Marco Amelia,Chelsea,Goalkeeper,0.0,2015/2016,Arrival
Mohamed Salah,Chelsea,Right Winger,0.0,2015/2016,Arrival
Thorgan Hazard,Chelsea,Left Winger,0.0,2015/2016,Arrival
Victor Moses,Chelsea,Right Midfield,0.0,2015/2016,Arrival
Wallace Oliveira,Chelsea,Right-Back,0.0,2015/2016,Arrival
Bertrand Traoré,Chelsea,Right Winger,0.0,2015/2016,Arrival
Marko Marin,Chelsea,Attacking Midfield,0.0,2015/2016,Arrival
Mario Pasalic,Chelsea,Central Midfield,0.0,2015/2016,Arrival
Wallace Oliveira,Chelsea,Right-Back,0.0,2015/2016,Arrival
Josh McEachran,Chelsea,Central Midfield,0.0,2015/2016,Arrival
Lucas Piazón,Chelsea,Attacking Midfield,0.0,2015/2016,Arrival
Tomas Kalas,Chelsea,Centre-Back,0.0,2015/2016,Arrival
Michael Hector,Chelsea,Centre-Back,0.0,2015/2016,Arrival
Oriol Romeu,Chelsea,Defensive Midfield,0.0,2015/2016,Arrival
Gaël Kakuta,Chelsea,Attacking Midfield,0.0,2015/2016,Arrival
Nathan Aké,Chelsea,Centre-Back,0.0,2015/2016,Arrival
Lucas Piazón,Chelsea,Attacking Midfield,0.0,2015/2016,Arrival
Patrick Bamford,Chelsea,Centre-Forward,0.0,2015/2016,Arrival
Patrick Bamford,Chelsea,Centre-Forward,0.0,2015/2016,Arrival
Christian Atsu,Chelsea,Left Winger,0.0,2015/2016,Arrival
Christian Atsu,Chelsea,Left Winger,0.0,2015/2016,Arrival
Marco van Ginkel,Chelsea,Central Midfield,0.0,2015/2016,Arrival
Marco van Ginkel,Chelsea,Central Midfield,0.0,2015/2016,Arrival
Patrick van Aanholt,Chelsea,Left-Back,0.0,2014/2015,Arrival
Nathaniel Chalobah,Chelsea,Defensive Midfield,0.0,2014/2015,Arrival
Ulises Dávila,Chelsea,Attacking Midfield,0.0,2015/2016,Arrival
Gaël Kakuta,Chelsea,Attacking Midfield,0.0,2013/2014,Arrival
Kenneth Omeruo,Chelsea,Centre-Back,0.0,2013/2014,Arrival
Patrick Bamford,Chelsea,Centre-Forward,0.0,2013/2014,Arrival
Ulises Dávila,Chelsea,Attacking Midfield,0.0,2013/2014,Arrival
Cristian Cuevas,Chelsea,Left Winger,0.0,2013/2014,Arrival
Wallace Oliveira,Chelsea,Right-Back,0.0,2013/2014,Arrival
Jeffrey Bruma,Chelsea,Centre-Back,0.0,2013/2014,Arrival
Nathaniel Chalobah,Chelsea,Defensive Midfield,0.0,2013/2014,Arrival
Nathaniel Chalobah,Chelsea,Defensive Midfield,0.0,2013/2014,Arrival
Josh McEachran,Chelsea,Central Midfield,0.0,2013/2014,Arrival
Josh McEachran,Chelsea,Central Midfield,0.0,2013/2014,Arrival
Nathaniel Chalobah,Chelsea,Defensive Midfield,0.0,2014/2015,Arrival
Lucas Piazón,Chelsea,Attacking Midfield,0.0,2013/2014,Arrival
Tomas Kalas,Chelsea,Centre-Back,0.0,2013/2014,Arrival
Ryan Bertrand,Chelsea,Left-Back,0.0,2013/2014,Arrival
Kevin De Bruyne,Chelsea,Attacking Midfield,0.0,2013/2014,Arrival
Michael Essien,Chelsea,Defensive Midfield,0.0,2013/2014,Arrival
Victor Moses,Chelsea,Right Midfield,0.0,2013/2014,Arrival
Romelu Lukaku,Chelsea,Centre-Forward,0.0,2013/2014,Arrival
Bertrand Traoré,Chelsea,Right Winger,0.0,2013/2014,Arrival
Mark Schwarzer,Chelsea,Goalkeeper,0.0,2013/2014,Arrival
Todd Kane,Chelsea,Right-Back,0.0,2013/2014,Arrival
Kenneth Omeruo,Chelsea,Centre-Back,0.0,2013/2014,Arrival
Matej Delac,Chelsea,Goalkeeper,0.0,2013/2014,Arrival
Patrick Bamford,Chelsea,Centre-Forward,0.0,2013/2014,Arrival
Marko Marin,Chelsea,Attacking Midfield,0.0,2014/2015,Arrival
Wallace Oliveira,Chelsea,Right-Back,0.0,2014/2015,Arrival
Christian Atsu,Chelsea,Left Winger,0.0,2014/2015,Arrival
Ryan Bertrand,Chelsea,Left-Back,0.0,2014/2015,Arrival
Lucas Piazón,Chelsea,Attacking Midfield,0.0,2014/2015,Arrival
Oriol Romeu,Chelsea,Defensive Midfield,0.0,2014/2015,Arrival
Fernando Torres,Chelsea,Centre-Forward,0.0,2014/2015,Arrival
Victor Moses,Chelsea,Right Midfield,0.0,2014/2015,Arrival
Kurt Zouma,Chelsea,Centre-Back,0.0,2014/2015,Arrival
Thorgan Hazard,Chelsea,Left Winger,0.0,2014/2015,Arrival
Thibaut Courtois,Chelsea,Goalkeeper,0.0,2014/2015,Arrival
Ruben Loftus-Cheek,Chelsea,Central Midfield,0.0,2014/2015,Arrival
Jamal Blackman,Chelsea,Goalkeeper,0.0,2014/2015,Arrival
Lewis Baker,Chelsea,Central Midfield,0.0,2014/2015,Arrival
Didier Drogba,Chelsea,Centre-Forward,0.0,2014/2015,Arrival
Anjur Osmanovic,Chelsea,Central Midfield,0.0,2013/2014,Arrival
Sam Hutchinson,Chelsea,Defensive Midfield,0.0,2013/2014,Arrival
Sam Hutchinson,Chelsea,Defensive Midfield,0.0,2013/2014,Arrival
Matej Delac,Chelsea,Goalkeeper,0.0,2013/2014,Arrival
Cristian Cuevas,Chelsea,Left Winger,0.0,2015/2016,Arrival
Matej Delac,Chelsea,Goalkeeper,0.0,2015/2016,Arrival
Ulises Dávila,Chelsea,Attacking Midfield,0.0,2012/2013,Departure
Jake Clarke-Salter,Chelsea,Centre-Back,0.0,2018/2019,Arrival
Fikayo Tomori,Chelsea,Centre-Back,0.0,2018/2019,Arrival
Mario Pasalic,Chelsea,Central Midfield,0.0,2018/2019,Arrival
Kenedy,Chelsea,Left Winger,0.0,2018/2019,Arrival
Marco van Ginkel,Chelsea,Central Midfield,0.0,2018/2019,Arrival
Tammy Abraham,Chelsea,Centre-Forward,0.0,2018/2019,Arrival
Kurt Zouma,Chelsea,Centre-Back,0.0,2018/2019,Arrival
Michy Batshuayi,Chelsea,Centre-Forward,0.0,2018/2019,Arrival
Michy Batshuayi,Chelsea,Centre-Forward,0.0,2018/2019,Arrival
Callum Hudson-Odoi,Chelsea,Left Winger,0.0,2018/2019,Arrival
Izzy Brown,Chelsea,Left Winger,0.0,2018/2019,Arrival
Todd Kane,Chelsea,Right-Back,0.0,2017/2018,Arrival
Mateo Kovacic,Chelsea,Central Midfield,0.0,2018/2019,Arrival
Rob Green,Chelsea,Goalkeeper,0.0,2018/2019,Arrival
Jamal Blackman,Chelsea,Goalkeeper,0.0,2017/2018,Arrival
Danilo Pantic,Chelsea,Attacking Midfield,0.0,2017/2018,Arrival
Cristian Cuevas,Chelsea,Left Winger,0.0,2017/2018,Arrival
Matej Delac,Chelsea,Goalkeeper,0.0,2017/2018,Arrival
Fikayo Tomori,Chelsea,Centre-Back,0.0,2017/2018,Arrival
Wallace Oliveira,Chelsea,Right-Back,0.0,2017/2018,Arrival
Nathan,Chelsea,Attacking Midfield,0.0,2017/2018,Arrival
Lewis Baker,Chelsea,Central Midfield,0.0,2018/2019,Arrival
Lewis Baker,Chelsea,Central Midfield,0.0,2018/2019,Arrival
Abdul Rahman Baba,Chelsea,Left-Back,0.0,2018/2019,Arrival
Izzy Brown,Chelsea,Left Winger,0.0,2018/2019,Arrival
Wallace Oliveira,Chelsea,Right-Back,0.0,2012/2013,Departure
Gaël Kakuta,Chelsea,Attacking Midfield,0.0,2012/2013,Departure
Josh McEachran,Chelsea,Central Midfield,0.0,2012/2013,Departure
Yossi Benayoun,Chelsea,Right Winger,0.0,2012/2013,Departure
Lucas Piazón,Chelsea,Attacking Midfield,0.0,2012/2013,Departure
Romelu Lukaku,Chelsea,Centre-Forward,0.0,2012/2013,Departure
Michael Essien,Chelsea,Defensive Midfield,0.0,2012/2013,Departure
Bosingwa,Chelsea,Right-Back,0.0,2012/2013,Departure
Didier Drogba,Chelsea,Centre-Forward,0.0,2012/2013,Departure
Salomon Kalou,Chelsea,Left Winger,0.0,2012/2013,Departure
Jamal Blackman,Chelsea,Goalkeeper,0.0,2018/2019,Arrival
Nathan,Chelsea,Attacking Midfield,0.0,2018/2019,Arrival
Todd Kane,Chelsea,Right-Back,0.0,2018/2019,Arrival
Kenneth Omeruo,Chelsea,Centre-Back,0.0,2018/2019,Arrival
Matt Miazga,Chelsea,Centre-Back,0.0,2018/2019,Arrival
Matt Miazga,Chelsea,Centre-Back,0.0,2018/2019,Arrival
Matt Miazga,Chelsea,Centre-Back,0.0,2018/2019,Arrival
Michael Hector,Chelsea,Centre-Back,0.0,2018/2019,Arrival
Tomas Kalas,Chelsea,Centre-Back,0.0,2018/2019,Arrival
Nathan,Chelsea,Attacking Midfield,0.0,2017/2018,Arrival
Todd Kane,Chelsea,Right-Back,0.0,2017/2018,Arrival
Ulises Dávila,Chelsea,Attacking Midfield,0.0,2015/2016,Arrival
Tomas Kalas,Chelsea,Centre-Back,0.0,2016/2017,Arrival
Stipe Perica,Chelsea,Centre-Forward,0.0,2016/2017,Arrival
Matej Delac,Chelsea,Goalkeeper,0.0,2016/2017,Arrival
Todd Kane,Chelsea,Right-Back,0.0,2016/2017,Arrival
Cristian Cuevas,Chelsea,Left Winger,0.0,2016/2017,Arrival
Kenneth Omeruo,Chelsea,Centre-Back,0.0,2016/2017,Arrival
Nathaniel Chalobah,Chelsea,Defensive Midfield,0.0,2016/2017,Arrival
Christian Atsu,Chelsea,Left Winger,0.0,2016/2017,Arrival
Papy Djilobodji,Chelsea,Centre-Back,0.0,2016/2017,Arrival
Marko Marin,Chelsea,Attacking Midfield,0.0,2016/2017,Arrival
Mario Pasalic,Chelsea,Central Midfield,0.0,2016/2017,Arrival
Ola Aina,Chelsea,Right-Back,0.0,2017/2018,Arrival
Nathan Aké,Chelsea,Centre-Back,0.0,2016/2017,Arrival
Patrick Bamford,Chelsea,Centre-Forward,0.0,2016/2017,Arrival
Marco van Ginkel,Chelsea,Central Midfield,0.0,2016/2017,Arrival
Kenedy,Chelsea,Left Winger,0.0,2016/2017,Arrival
Loïc Rémy,Chelsea,Centre-Forward,0.0,2016/2017,Arrival
Mohamed Salah,Chelsea,Right Winger,0.0,2016/2017,Arrival
Juan Cuadrado,Chelsea,Right Midfield,0.0,2016/2017,Arrival
Ola Aina,Chelsea,Right-Back,0.0,2016/2017,Arrival
Eduardo,Chelsea,Goalkeeper,0.0,2016/2017,Arrival
Danilo Pantic,Chelsea,Attacking Midfield,0.0,2016/2017,Arrival
Jamal Blackman,Chelsea,Goalkeeper,0.0,2016/2017,Arrival
Jamal Blackman,Chelsea,Goalkeeper,0.0,2016/2017,Arrival
Willy Caballero,Chelsea,Goalkeeper,0.0,2017/2018,Arrival
Kenneth Omeruo,Chelsea,Centre-Back,0.0,2017/2018,Arrival
Lucas Piazón,Chelsea,Attacking Midfield,0.0,2017/2018,Arrival
Michael Hector,Chelsea,Centre-Back,0.0,2017/2018,Arrival
Charly Musonda Jr.,Chelsea,Left Winger,0.0,2017/2018,Arrival
Christian Atsu,Chelsea,Left Winger,0.0,2017/2018,Arrival
Tomas Kalas,Chelsea,Centre-Back,0.0,2017/2018,Arrival
Lewis Baker,Chelsea,Central Midfield,0.0,2017/2018,Arrival
Lewis Baker,Chelsea,Central Midfield,0.0,2017/2018,Arrival
Bertrand Traoré,Chelsea,Right Winger,0.0,2017/2018,Arrival
Mario Pasalic,Chelsea,Central Midfield,0.0,2017/2018,Arrival
Abdul Rahman Baba,Chelsea,Left-Back,0.0,2017/2018,Arrival
Tammy Abraham,Chelsea,Centre-Forward,0.0,2017/2018,Arrival
Ruben Loftus-Cheek,Chelsea,Central Midfield,0.0,2017/2018,Arrival
Kurt Zouma,Chelsea,Centre-Back,0.0,2017/2018,Arrival
Andreas Christensen,Chelsea,Centre-Back,0.0,2017/2018,Arrival
Juan Cuadrado,Chelsea,Right Midfield,0.0,2017/2018,Arrival
Fikayo Tomori,Chelsea,Centre-Back,0.0,2017/2018,Arrival
Charly Musonda Jr.,Chelsea,Left Winger,0.0,2017/2018,Arrival
Tammy Abraham,Chelsea,Centre-Forward,0.0,2017/2018,Arrival
Arijanet Muric,Manchester City,Goalkeeper,0.0,2018/2019,Departure
